Date,Revenue,Orders,Cancelled,Region,Product,Customer
2025-09-24,100738.65,47,1,East,Risk Monitor,Customer 101 Solutions
2025-09-24,118600.15,52,2,West,Support Intelligence,Customer 030 Systems
2025-09-24,204012.36,36,2,Central,Data Fabric,Customer 076 Solutions
2025-09-24,294039.03,71,3,North,Forecast Studio,Customer 115 Holdings
2025-09-25,91738.85,85,6,West,Forecast Studio,Customer 095 Group
2025-09-25,68332.59,32,2,Central,Support Intelligence,Customer 035 Systems
2025-09-25,79309.66,39,2,North,Executive Copilot,Customer 118 Industries
2025-09-25,184028.12,52,4,South,Support Intelligence,Customer 018 Solutions
2025-09-26,121078.88,41,1,Central,Data Fabric,Customer 111 Systems
2025-09-26,203733.93,42,1,North,Executive Copilot,Customer 103 Systems
2025-09-26,248257.65,42,1,South,Risk Monitor,Customer 105 Industries
2025-09-26,292307.33,78,5,East,Sentinel Core,Customer 098 Holdings
2025-09-27,186377.61,42,3,North,Risk Monitor,Customer 099 Solutions
2025-09-27,12492.31,14,1,South,Support Intelligence,Customer 114 Holdings
2025-09-27,145829.26,59,2,East,Support Intelligence,Customer 088 Solutions
2025-09-27,222773.47,75,6,West,Data Fabric,Customer 084 Group
2025-09-28,184033.25,38,3,South,Sentinel Core,Customer 023 Group
2025-09-28,128326.25,21,1,East,Forecast Studio,Customer 110 Industries
2025-09-28,403165.05,64,1,West,Risk Monitor,Customer 081 Solutions
2025-09-28,69160.34,65,1,Central,Data Fabric,Customer 062 Systems
2025-09-29,244410.69,42,3,East,Support Intelligence,Customer 026 Systems
2025-09-29,159043.33,44,2,West,Support Intelligence,Customer 047 Holdings
2025-09-29,231971.42,69,5,Central,Forecast Studio,Customer 115 Holdings
2025-09-29,258542.85,73,2,North,Executive Copilot,Customer 030 Systems
2025-09-30,176828.46,41,2,West,Support Intelligence,Customer 024 Solutions
2025-09-30,70929.49,59,1,Central,Risk Monitor,Customer 020 Solutions
2025-09-30,52071.22,47,3,North,Executive Copilot,Customer 110 Industries
2025-09-30,329492.93,81,2,South,Forecast Studio,Customer 082 Group
2025-10-01,79593.25,21,1,Central,Risk Monitor,Customer 015 Group
2025-10-01,198833.98,38,2,North,Forecast Studio,Customer 100 Group
2025-10-01,65380.82,15,1,South,Forecast Studio,Customer 004 Industries
2025-10-01,73749.18,38,2,East,Sentinel Core,Customer 115 Holdings
2025-10-02,524117.48,82,7,North,Data Fabric,Customer 104 Group
2025-10-02,84920.33,17,0,South,Forecast Studio,Customer 060 Systems
2025-10-02,160052.6,44,1,East,Risk Monitor,Customer 117 Group
2025-10-02,226379.14,56,1,West,Forecast Studio,Customer 088 Solutions
2025-10-03,220476.94,48,4,South,Risk Monitor,Customer 003 Solutions
2025-10-03,163021.73,26,2,East,Executive Copilot,Customer 116 Group
2025-10-03,160426.2,36,2,West,Support Intelligence,Customer 092 Systems
2025-10-03,78260.22,45,3,Central,Support Intelligence,Customer 028 Group
2025-10-04,206106.44,77,2,East,Forecast Studio,Customer 090 Systems
2025-10-04,295835.24,61,5,West,Support Intelligence,Customer 017 Group
2025-10-04,485254.52,77,3,Central,Support Intelligence,Customer 059 Group
2025-10-04,106027.76,26,2,North,Risk Monitor,Customer 050 Holdings
2025-10-05,165503.58,68,5,West,Support Intelligence,Customer 113 Group
2025-10-05,85904.58,67,1,Central,Data Fabric,Customer 061 Holdings
2025-10-05,71501.89,18,1,North,Risk Monitor,Customer 025 Systems
2025-10-05,172232.03,60,1,South,Support Intelligence,Customer 099 Solutions
2025-10-06,284372.07,63,4,Central,Forecast Studio,Customer 085 Systems
2025-10-06,126495.86,21,1,North,Risk Monitor,Customer 002 Group
2025-10-06,231827.11,68,4,South,Sentinel Core,Customer 102 Solutions
2025-10-06,186328.67,49,1,East,Forecast Studio,Customer 001 Holdings
2025-10-07,183315.84,26,0,North,Data Fabric,Customer 119 Industries
2025-10-07,71674.54,27,2,South,Forecast Studio,Customer 090 Systems
2025-10-07,182620.47,75,3,East,Sentinel Core,Customer 044 Solutions
2025-10-07,208248.89,59,5,West,Sentinel Core,Customer 063 Systems
2025-10-08,64143.09,35,3,South,Support Intelligence,Customer 095 Group
2025-10-08,250830.64,56,3,East,Forecast Studio,Customer 009 Group
2025-10-08,94735.26,40,2,West,Sentinel Core,Customer 060 Systems
2025-10-08,256229.93,70,2,Central,Risk Monitor,Customer 114 Holdings
2025-10-09,37754.71,17,0,East,Data Fabric,Customer 027 Systems
2025-10-09,223513.01,82,6,West,Risk Monitor,Customer 031 Group
2025-10-09,271835.97,76,1,Central,Support Intelligence,Customer 081 Solutions
2025-10-09,271893.12,57,2,North,Risk Monitor,Customer 043 Industries
2025-10-10,24098.21,15,1,West,Sentinel Core,Customer 065 Holdings
2025-10-10,143480.25,30,1,Central,Risk Monitor,Customer 090 Systems
2025-10-10,32137.05,17,1,North,Data Fabric,Customer 016 Solutions
2025-10-10,201237.66,68,5,South,Risk Monitor,Customer 019 Systems
2025-10-11,133907.45,27,0,Central,Data Fabric,Customer 092 Systems
2025-10-11,331560.05,78,4,North,Sentinel Core,Customer 067 Group
2025-10-11,115861.53,24,1,South,Data Fabric,Customer 033 Holdings
2025-10-11,114025.76,24,2,East,Risk Monitor,Customer 049 Systems
2025-10-12,325007.71,69,2,North,Support Intelligence,Customer 063 Systems
2025-10-12,45216.96,30,1,South,Sentinel Core,Customer 054 Systems
2025-10-12,106987.42,53,3,East,Sentinel Core,Customer 075 Group
2025-10-12,71207.16,76,4,West,Risk Monitor,Customer 098 Holdings
2025-10-13,326758.27,49,3,South,Risk Monitor,Customer 039 Industries
2025-10-13,179102.27,42,2,East,Risk Monitor,Customer 109 Industries
2025-10-13,73012.43,63,2,West,Data Fabric,Customer 019 Systems
2025-10-13,354735.53,63,3,Central,Sentinel Core,Customer 017 Group
2025-10-14,222236.23,64,3,East,Sentinel Core,Customer 028 Group
2025-10-14,80143.87,47,1,West,Sentinel Core,Customer 010 Systems
2025-10-14,112476.27,33,2,Central,Data Fabric,Customer 092 Systems
2025-10-14,140095.95,37,3,North,Data Fabric,Customer 089 Group
2025-10-15,33716.74,19,1,West,Data Fabric,Customer 111 Systems
2025-10-15,187032.01,47,4,Central,Sentinel Core,Customer 017 Group
2025-10-15,232173.03,36,3,North,Executive Copilot,Customer 008 Solutions
2025-10-15,123375.92,50,1,South,Sentinel Core,Customer 041 Group
2025-10-16,65445.87,22,1,Central,Risk Monitor,Customer 031 Group
2025-10-16,143629.63,73,6,North,Data Fabric,Customer 088 Solutions
2025-10-16,132060.43,42,3,South,Risk Monitor,Customer 109 Industries
2025-10-16,357930.76,65,3,East,Executive Copilot,Customer 047 Holdings
2025-10-17,145137.25,48,4,North,Forecast Studio,Customer 007 Systems
2025-10-17,102964.19,20,1,South,Data Fabric,Customer 069 Solutions
2025-10-17,152689.7,44,2,East,Support Intelligence,Customer 031 Group
2025-10-17,36893.49,35,2,West,Forecast Studio,Customer 070 Systems
2025-10-18,266088.33,64,5,South,Executive Copilot,Customer 094 Solutions
2025-10-18,402916.59,69,2,East,Data Fabric,Customer 035 Systems
2025-10-18,230762.72,58,2,West,Executive Copilot,Customer 037 Solutions
2025-10-18,88327.3,14,1,Central,Executive Copilot,Customer 038 Industries
2025-10-19,105822.94,38,1,East,Executive Copilot,Customer 006 Industries
2025-10-19,71569.04,48,4,West,Forecast Studio,Customer 116 Group
2025-10-19,113737.29,46,3,Central,Sentinel Core,Customer 001 Holdings
2025-10-19,171922.68,37,2,North,Sentinel Core,Customer 032 Holdings
2025-10-20,88955.75,16,1,West,Sentinel Core,Customer 050 Holdings
2025-10-20,516550.83,80,5,Central,Risk Monitor,Customer 025 Systems
2025-10-20,91314.01,78,5,North,Data Fabric,Customer 041 Group
2025-10-20,205197.04,31,1,South,Data Fabric,Customer 032 Holdings
2025-10-21,184998.39,38,1,Central,Support Intelligence,Customer 094 Solutions
2025-10-21,278538.23,44,2,North,Risk Monitor,Customer 064 Group
2025-10-21,53975.67,30,1,South,Support Intelligence,Customer 003 Solutions
2025-10-21,125044.08,20,2,East,Executive Copilot,Customer 027 Systems
2025-10-22,72063.8,42,3,North,Executive Copilot,Customer 038 Industries
2025-10-22,427530.34,67,2,South,Forecast Studio,Customer 041 Group
2025-10-22,212206.03,84,3,East,Data Fabric,Customer 065 Holdings
2025-10-22,133821.02,71,4,West,Sentinel Core,Customer 096 Holdings
2025-10-23,264634.67,45,1,South,Data Fabric,Customer 092 Systems
2025-10-23,272101.66,70,2,East,Sentinel Core,Customer 005 Group
2025-10-23,99185.79,24,1,West,Sentinel Core,Customer 070 Systems
2025-10-23,98423.55,58,4,Central,Risk Monitor,Customer 110 Industries
2025-10-24,94260.05,16,1,East,Risk Monitor,Customer 075 Group
2025-10-24,150885.74,27,1,West,Data Fabric,Customer 093 Holdings
2025-10-24,343634.65,55,5,Central,Sentinel Core,Customer 047 Holdings
2025-10-24,32741.38,25,2,North,Support Intelligence,Customer 062 Systems
2025-10-25,116522.51,45,1,West,Support Intelligence,Customer 053 Systems
2025-10-25,480661.73,81,2,Central,Executive Copilot,Customer 117 Group
2025-10-25,37197.35,18,1,North,Risk Monitor,Customer 063 Systems
2025-10-25,132265.53,34,2,South,Sentinel Core,Customer 011 Systems
2025-10-26,303781.54,50,4,Central,Forecast Studio,Customer 027 Systems
2025-10-26,217210.42,52,3,North,Executive Copilot,Customer 091 Systems
2025-10-26,119812.96,58,4,South,Executive Copilot,Customer 001 Holdings
2025-10-26,222638.7,32,1,East,Executive Copilot,Customer 093 Holdings
2025-10-27,413521.03,77,6,North,Data Fabric,Customer 102 Solutions
2025-10-27,175446.35,38,2,South,Risk Monitor,Customer 087 Systems
2025-10-27,116873.47,20,1,East,Support Intelligence,Customer 006 Industries
2025-10-27,119424.26,24,1,West,Support Intelligence,Customer 017 Group
2025-10-28,159088.04,56,2,South,Executive Copilot,Customer 094 Solutions
2025-10-28,130914.02,27,2,East,Risk Monitor,Customer 089 Group
2025-10-28,68138.17,16,1,West,Data Fabric,Customer 069 Solutions
2025-10-28,276812.26,42,1,Central,Support Intelligence,Customer 005 Group
2025-10-29,93121.81,29,2,East,Sentinel Core,Customer 074 Systems
2025-10-29,174778.17,27,2,West,Executive Copilot,Customer 105 Industries
2025-10-29,58896.75,30,1,Central,Forecast Studio,Customer 043 Industries
2025-10-29,375780.07,84,2,North,Support Intelligence,Customer 113 Group
2025-10-30,95170.64,32,2,West,Risk Monitor,Customer 020 Solutions
2025-10-30,133029.04,57,3,Central,Executive Copilot,Customer 046 Systems
2025-10-30,238307.84,60,3,North,Sentinel Core,Customer 072 Solutions
2025-10-30,205287.84,66,4,South,Support Intelligence,Customer 093 Holdings
2025-10-31,95391.62,36,3,Central,Data Fabric,Customer 027 Systems
2025-10-31,49467.77,14,1,North,Executive Copilot,Customer 065 Holdings
2025-10-31,160147.9,60,2,South,Sentinel Core,Customer 004 Industries
2025-10-31,299789.41,62,1,East,Data Fabric,Customer 027 Systems
2025-11-01,101978.48,27,2,North,Sentinel Core,Customer 013 Group
2025-11-01,137111.6,29,2,South,Data Fabric,Customer 084 Group
2025-11-01,86012.07,53,2,East,Support Intelligence,Customer 003 Solutions
2025-11-01,99166.85,37,3,West,Risk Monitor,Customer 103 Systems
2025-11-02,112324.82,31,2,South,Risk Monitor,Customer 075 Group
2025-11-02,54181.4,51,1,East,Risk Monitor,Customer 093 Holdings
2025-11-02,210326.6,84,5,West,Forecast Studio,Customer 035 Systems
2025-11-02,297601.86,45,2,Central,Sentinel Core,Customer 075 Group
2025-11-03,103551.75,42,2,East,Risk Monitor,Customer 023 Group
2025-11-03,56270.05,51,2,West,Support Intelligence,Customer 026 Systems
2025-11-03,118371.89,59,1,Central,Risk Monitor,Customer 011 Systems
2025-11-03,128861.42,66,1,North,Executive Copilot,Customer 075 Group
2025-11-04,58868.05,49,3,West,Risk Monitor,Customer 012 Solutions
2025-11-04,88289.21,39,1,Central,Support Intelligence,Customer 120 Group
2025-11-04,73790.17,37,3,North,Support Intelligence,Customer 007 Systems
2025-11-04,171964.35,37,2,South,Forecast Studio,Customer 019 Systems
2025-11-05,209732.43,38,2,Central,Sentinel Core,Customer 024 Solutions
2025-11-05,130773.53,21,2,North,Forecast Studio,Customer 031 Group
2025-11-05,248468.88,58,3,South,Executive Copilot,Customer 007 Systems
2025-11-05,146042.69,25,2,East,Support Intelligence,Customer 051 Systems
2025-11-06,172869.83,34,3,North,Risk Monitor,Customer 066 Group
2025-11-06,131575.12,81,6,South,Support Intelligence,Customer 071 Industries
2025-11-06,61008.75,18,0,East,Data Fabric,Customer 092 Systems
2025-11-06,62735.02,48,3,West,Support Intelligence,Customer 046 Systems
2025-11-07,72910.37,30,1,South,Risk Monitor,Customer 088 Solutions
2025-11-07,478864.38,74,3,East,Forecast Studio,Customer 026 Systems
2025-11-07,160345.25,24,1,West,Sentinel Core,Customer 086 Systems
2025-11-07,189716,29,2,Central,Data Fabric,Customer 090 Systems
2025-11-08,261301.75,46,1,East,Executive Copilot,Customer 116 Group
2025-11-08,247371.28,46,4,West,Support Intelligence,Customer 048 Industries
2025-11-08,56896.82,48,4,Central,Risk Monitor,Customer 014 Industries
2025-11-08,249523.34,76,1,North,Data Fabric,Customer 001 Holdings
2025-11-09,118549.44,63,3,West,Risk Monitor,Customer 015 Group
2025-11-09,56353.12,18,1,Central,Support Intelligence,Customer 110 Industries
2025-11-09,275125.29,51,4,North,Risk Monitor,Customer 086 Systems
2025-11-09,171166.28,27,0,South,Executive Copilot,Customer 114 Holdings
2025-11-10,257283.42,41,1,Central,Executive Copilot,Customer 038 Industries
2025-11-10,159301.24,72,3,North,Executive Copilot,Customer 054 Systems
2025-11-10,55986.31,31,2,South,Data Fabric,Customer 057 Systems
2025-11-10,369062.86,62,3,East,Forecast Studio,Customer 020 Solutions
2025-11-11,196233.37,67,5,North,Support Intelligence,Customer 087 Systems
2025-11-11,141980.14,75,2,South,Support Intelligence,Customer 012 Solutions
2025-11-11,159763.23,37,1,East,Forecast Studio,Customer 087 Systems
2025-11-11,521917.8,78,3,West,Risk Monitor,Customer 057 Systems
2025-11-12,316543.17,49,2,South,Forecast Studio,Customer 084 Group
2025-11-12,423772.04,66,6,East,Executive Copilot,Customer 075 Group
