id,warehouse_id,product_id,quantity_on_hand,quantity_reserved
20d374ed-0284-5414-b284-67bab07dc8bb,d61bead2-0544-5c10-af89-1f294f977280,d37c44df-541b-5bf4-b395-65b41bac88a8,59,6
f782a928-3b52-54d6-a507-899488877846,d61bead2-0544-5c10-af89-1f294f977280,88f79184-2cf9-5f72-8e4a-cedfa68d9d06,141,17
e6fa7212-918b-5b4e-9309-8821949d8979,d61bead2-0544-5c10-af89-1f294f977280,896e7662-34d0-5631-bb0f-b5ce6b0ad1ba,97,15
c9481506-fc12-5327-a01d-66c92677aee1,d61bead2-0544-5c10-af89-1f294f977280,5d79cff2-0e77-58a2-b1bf-c506ed3c98bd,151,3
a332b300-b0fa-5573-bad6-61127504545d,d61bead2-0544-5c10-af89-1f294f977280,1cc795b2-21b3-5c5e-84f0-8f1fa20a6dd4,71,17
216d9731-e513-5a8f-80c2-f4bfd3da1a71,d61bead2-0544-5c10-af89-1f294f977280,d520aef1-b021-5cf0-a1d3-9e7e6d31aab7,46,22
341e5094-d835-5fc5-9062-2d1b3e496b37,d61bead2-0544-5c10-af89-1f294f977280,db43f9b2-c956-5785-8950-8287c47db3ae,111,5
8d5c6181-21ef-559a-ae2c-48cc75d5287d,d61bead2-0544-5c10-af89-1f294f977280,599db343-a607-5259-8af1-adde7b1a86ce,37,18
843459b4-3324-5bca-8bba-2292ae1e086c,d61bead2-0544-5c10-af89-1f294f977280,3205bb8a-e766-5617-a3d4-78aaa9883bc8,122,21
83fe6a8b-75e7-55ea-a738-19686cae8123,d61bead2-0544-5c10-af89-1f294f977280,8a195dd5-491c-532c-9a61-886a24d451c0,9,7
ba786950-2af8-5a1b-8f83-92b55cf04d3c,d61bead2-0544-5c10-af89-1f294f977280,fb4140fc-b3c1-5a6a-8613-9b068fdd2b39,36,25
f2435b97-8406-5d3d-bb70-3135f077ad5f,d61bead2-0544-5c10-af89-1f294f977280,31a97c6b-10cf-54c1-b463-f81683a437cc,95,3
6a10e52c-206d-5416-9f16-8b9066802688,d61bead2-0544-5c10-af89-1f294f977280,1dd457fd-1d71-5eb5-b684-6f07d43e876c,156,14
59b46b54-3d29-561f-8220-ee5420a70f4f,d61bead2-0544-5c10-af89-1f294f977280,eff08d1d-eb3b-559a-8ca9-60c7b365af52,8,8
03205701-31fb-5458-903e-ab9d03748214,d61bead2-0544-5c10-af89-1f294f977280,d4214473-2bf7-5b77-bb1f-734e590c4014,68,1
5c45834c-21be-5f99-9d55-1150f65e301b,d61bead2-0544-5c10-af89-1f294f977280,0f2c8ffe-5a45-5cfc-afbf-417553294a54,55,12
af9766c7-166f-517d-bcaa-429dec5c1964,d61bead2-0544-5c10-af89-1f294f977280,b4065918-1c4b-50b6-b69a-d859f24bfe23,12,11
73e53f08-9890-5358-82b0-a470e79565d4,d61bead2-0544-5c10-af89-1f294f977280,f65edfe2-43ae-59f6-b37a-f98344e1a998,136,24
6758dd2c-3ecf-5ce8-9b63-3f0ede821731,d61bead2-0544-5c10-af89-1f294f977280,591abda9-fd16-5958-b0e9-586f0dfa6e54,54,25
bb2fa4c1-6d65-5608-a3f7-ff4578adddd5,d61bead2-0544-5c10-af89-1f294f977280,9f7bfd37-85ae-5a17-9b9f-5dafe3ec68ee,140,12
745e8e1e-2867-582c-abec-df9d75eca44f,d61bead2-0544-5c10-af89-1f294f977280,43d6da55-777b-55ef-8cf5-d4cc7bfa63ad,144,20
354c7f75-2075-5119-929a-5f9cb3aefd86,d61bead2-0544-5c10-af89-1f294f977280,cb09f248-037d-5a0d-9970-99cb102c05d8,164,10
c2e8a987-451f-5322-9368-7a4dc149bd6e,d61bead2-0544-5c10-af89-1f294f977280,db630ac7-839d-5331-93df-dc621d8357b6,128,20
0181e538-7dad-535f-a17f-e4e52b05de0f,d61bead2-0544-5c10-af89-1f294f977280,8b12c834-e054-5502-85aa-99d1eb81eee0,167,8
570101e9-955d-5537-af59-63c4ee73a7f1,d61bead2-0544-5c10-af89-1f294f977280,12003734-bab7-5410-8c89-f9a8c4967dea,150,20
738d2b61-c42c-5d0d-80e9-64ecc0c0607b,d61bead2-0544-5c10-af89-1f294f977280,2e263bcd-bacc-5f51-b35b-70d1674f4dc5,112,2
b5da9e6f-80cb-5935-b7cc-b9a99ffa0915,d61bead2-0544-5c10-af89-1f294f977280,b4b5a0e3-641b-562e-8386-bff3564cf295,101,11
9973527e-9f2a-5e8f-85c9-7028dffdb543,d61bead2-0544-5c10-af89-1f294f977280,cd410e43-ec3c-524b-84c6-84482a7b1204,173,22
a1691b33-a9ab-573e-af3c-062e1f744a47,d61bead2-0544-5c10-af89-1f294f977280,deaf9542-d65c-5f41-b22e-b1d033baea7a,12,10
7b07014b-48d7-5dbe-b488-3189adc86f16,d61bead2-0544-5c10-af89-1f294f977280,201fb8e4-2c24-5483-b44d-4063694486b2,131,14
2b9e7acf-937d-5a29-aecd-95938ef8551a,d61bead2-0544-5c10-af89-1f294f977280,13e04507-297b-56af-85d7-75b609d982a1,5,1
d1badab2-68fa-5168-b61a-07488be5ac6a,d61bead2-0544-5c10-af89-1f294f977280,f350d57a-8885-50f1-b76a-29f7a8057a35,98,6
c7297157-4781-5773-8615-c007c10654ae,d61bead2-0544-5c10-af89-1f294f977280,b6edaedb-a02c-5fbc-b05c-2b5d8deb20c4,101,10
cc2a025c-3bb3-5ce2-8cf2-17e47b38d1f7,d61bead2-0544-5c10-af89-1f294f977280,fd5d29e1-571f-589d-be31-aa00127c02aa,6,4
c9c27770-90f4-560b-ac9f-a15ce5bfaa81,d61bead2-0544-5c10-af89-1f294f977280,c3e9c7fb-d6ab-5171-a827-7aad6b6d2342,69,17
1f142fff-4e53-598d-bc24-27f2b7d20e85,d61bead2-0544-5c10-af89-1f294f977280,d3739878-986b-5b5f-a096-4452493d6cbb,103,17
48606964-a947-5269-8a0f-0913b84e2654,d61bead2-0544-5c10-af89-1f294f977280,91bd15e4-105e-5926-abe6-7ceaf8c07375,69,7
49d5ffe2-2c52-51fc-a4a6-c322c255f4fc,d61bead2-0544-5c10-af89-1f294f977280,b5386670-1687-5260-ad33-97e5d697c425,144,8
6a05f13c-a84d-5c72-8f62-88bcbbc52108,d61bead2-0544-5c10-af89-1f294f977280,1ac8de35-b264-5704-978e-ce8dc08dd02d,113,1
b7bee55e-e3e1-5461-b5d1-ec4589cccfd5,d61bead2-0544-5c10-af89-1f294f977280,d6b2e2d8-f41b-5418-ba12-fcffc0aa6508,41,15
a4387189-432c-5fd7-85fc-aaee464510d1,d61bead2-0544-5c10-af89-1f294f977280,8ac2c18a-5896-572a-9f44-f5d60109258d,106,0
e1a8fc16-2a08-5371-8214-1db19a778408,d61bead2-0544-5c10-af89-1f294f977280,e53c7da2-eb34-5499-8fd8-380dd673ea82,141,15
4dd58bf5-fd5f-56a7-b8e7-a09d6ae84e42,d61bead2-0544-5c10-af89-1f294f977280,9a2e8c5f-4d3e-5cb8-ba78-f2bd562ee61b,19,6
5120c6a4-c0fb-5568-893c-3a8250eb51af,d61bead2-0544-5c10-af89-1f294f977280,aa67b9d9-b4e2-53f3-9447-ca933b53344f,82,2
2d31c869-a680-598e-8959-1db1a7f7057e,d61bead2-0544-5c10-af89-1f294f977280,d96da70b-0cb5-58c8-928a-aafb2d90b154,84,21
12b03844-692e-584a-975a-fedcaab7914c,d61bead2-0544-5c10-af89-1f294f977280,8dfa6632-930f-5fdc-b7cd-8d5908a33d66,98,22
775a91be-6620-5af4-8d23-55718b060fa7,d61bead2-0544-5c10-af89-1f294f977280,0eb49bc4-406e-5d63-a28c-3e5b6ef668e4,167,8
96408e63-7b24-594e-ad68-07fd40c8eaea,d61bead2-0544-5c10-af89-1f294f977280,1c3b9a21-09fa-5c21-bdad-35f2eb8a273f,103,3
2780d4b5-2ae8-5f42-b15e-afa4d759d31c,d61bead2-0544-5c10-af89-1f294f977280,75679cf6-5497-5e69-b773-db773bc6a245,99,22
c68e2909-cf37-583f-8d2f-814c3057b291,d61bead2-0544-5c10-af89-1f294f977280,af3fc15f-c662-5a5e-9e9c-3b2d4e1b6029,157,19
9c8c1f23-91ad-5d0b-9e56-2865571681e4,d61bead2-0544-5c10-af89-1f294f977280,cdea42fb-ee49-5a22-a213-56a8f9fcb148,125,2
86309f6a-4282-5653-9c36-753ea862f783,d61bead2-0544-5c10-af89-1f294f977280,34baeb4c-81dc-5b29-bc76-0b8fd47cdbed,62,10
27eac209-0c78-5ea0-b528-26c45e544237,d61bead2-0544-5c10-af89-1f294f977280,c0bff87f-f764-5151-8aec-dda48ea91847,97,8
2daa9f11-1cdb-5a3e-88a5-4e4498a32cd0,d61bead2-0544-5c10-af89-1f294f977280,228ccd2f-642c-5fdf-abf0-129af98a3568,100,11
70b02af1-8025-531f-8189-9eb3208118d8,d61bead2-0544-5c10-af89-1f294f977280,5d462a8e-32e0-59ad-ae5c-9d66eda72663,84,13
bb2d68ac-0ec3-56b6-9513-7cda77c2283b,d61bead2-0544-5c10-af89-1f294f977280,851c23cd-3716-5170-b9ac-0c25ddc7c95c,19,14
b9d57849-a5d7-5511-b47a-34faec7662a8,d61bead2-0544-5c10-af89-1f294f977280,f9fe7a6c-9a44-59e2-a4cc-fef69cc2e48e,122,9
da222f53-22e4-55ce-8ee7-6e3d98cc5c01,d61bead2-0544-5c10-af89-1f294f977280,613ff8f3-9a2b-5f66-8d3e-3e05d5391002,56,2
e269e151-6fcf-558a-ba6f-33ae6e5ca996,d61bead2-0544-5c10-af89-1f294f977280,f218ba8f-81cf-5efd-ad55-5f4ef76110c2,162,9
79e9c906-d5ac-526f-a357-6d2c4e07f618,d61bead2-0544-5c10-af89-1f294f977280,a042ed60-9218-5159-876b-6c4dd0e5f934,128,17
84652e11-625d-5259-8224-ff2fe137a8a6,d61bead2-0544-5c10-af89-1f294f977280,952e981c-e5c2-53da-984a-78dc5e3b1ad4,116,25
8249154f-18bb-5bcb-ac67-d1b5c7d07618,d61bead2-0544-5c10-af89-1f294f977280,d68351a2-cf36-5984-a091-28a9f5b6bb7e,168,18
0b66fb6b-6ce5-5d74-8db4-d51250c32397,d61bead2-0544-5c10-af89-1f294f977280,e139b0f5-6ca3-5ccb-8610-5a52b4b0eb6c,74,8
cb9f3893-ea27-5afe-89d3-cef57c18f86b,d61bead2-0544-5c10-af89-1f294f977280,3d307d78-b10f-5539-a951-7bcc9fd17161,128,5
91e1b169-4bec-5ce6-a6e8-dae13ff7cb17,d61bead2-0544-5c10-af89-1f294f977280,45669348-c1a3-5956-bbf2-d29bd438fbdc,94,12
8194f589-38c2-535d-90d4-c15abf23094d,d61bead2-0544-5c10-af89-1f294f977280,673811d5-2f11-5108-8b80-c9dd0dc2adda,7,2
00523b35-288c-5fa1-b51b-25347aeefe19,d61bead2-0544-5c10-af89-1f294f977280,e3b2c918-6a66-5db3-87f9-e5c71515f2ab,96,5
ac7adfe2-2a6c-584f-9e0c-255e2d5a2e11,d61bead2-0544-5c10-af89-1f294f977280,241d3cd0-ef2c-56b8-bb75-b039a61b370a,42,22
ce407255-8e7e-58e0-82b7-3f06988cc048,d61bead2-0544-5c10-af89-1f294f977280,e69a7c0b-6875-5a37-a379-abbc430fb47b,165,24
5e9aec93-97df-586b-8a9b-6dd50e27a2a1,d61bead2-0544-5c10-af89-1f294f977280,7169fcc7-7527-510c-b88d-bdcd257ce105,118,2
0bfc03c9-9240-5745-b09c-7317b7681f54,d61bead2-0544-5c10-af89-1f294f977280,de536700-41fe-55c3-beb9-bfb9849c872b,136,16
0490dbbb-5b4e-550d-baa2-b698a3fe9b77,d61bead2-0544-5c10-af89-1f294f977280,8d892cdc-d358-5f2b-a85b-cbecc7e0a664,173,4
8cdf6888-8635-53e6-996d-d37267481425,d61bead2-0544-5c10-af89-1f294f977280,1dd10a82-5cdc-539f-af3f-d3f255171973,68,22
851bd826-e8a3-5252-b6e8-d3607e72045f,d61bead2-0544-5c10-af89-1f294f977280,9e165d6f-802f-5694-a25a-20885ba2aa7f,64,19
88a42154-88a9-5e79-9f98-58dca2dbe341,d61bead2-0544-5c10-af89-1f294f977280,bab29423-27f9-5732-bd8b-a403c95b1a96,137,1
fae17d7a-5128-526d-9da8-17ef820b723d,d61bead2-0544-5c10-af89-1f294f977280,13ea52a1-6b55-57c7-b84e-acf7fb92f106,87,16
ba056bc6-76b7-530f-a3b4-51c45056afef,d61bead2-0544-5c10-af89-1f294f977280,559ab41c-d860-5ab1-aaa1-483577af7b67,34,8
ca959d40-2533-5fc6-aa96-d3e305056dfb,d61bead2-0544-5c10-af89-1f294f977280,ac03c1f7-3948-530e-8de5-80756984ab20,50,23
10e3ac8a-9864-50ff-af49-9f3a220160bf,d61bead2-0544-5c10-af89-1f294f977280,01351cb5-bcf4-52ee-88a1-c6442df67004,20,16
25960397-f4fa-513b-a6b2-1141437722fd,d61bead2-0544-5c10-af89-1f294f977280,8d6058a9-d9fb-546e-b841-e6b4a0978311,24,11
82e736ef-f239-5e85-90c1-7af13707ccb6,d61bead2-0544-5c10-af89-1f294f977280,617fd070-2fb8-5ff6-8eaa-308844dc97ac,6,0
b2af5d87-2105-5091-89e9-5d816d81040b,d61bead2-0544-5c10-af89-1f294f977280,508dfc85-5bf2-5709-b1e3-06ff86d5acb8,124,2
8ed3292f-1767-5088-a9bb-c3eecc6167ad,d61bead2-0544-5c10-af89-1f294f977280,80450a39-8a90-55da-adf7-0b6a1b84aeeb,128,13
db784206-b1f1-5fa8-ab40-1b20e9fd9652,d61bead2-0544-5c10-af89-1f294f977280,dee51c26-0113-56c0-a9c6-edbcfc488df1,118,23
5efcac6c-9f94-585b-a1c2-f0bf23689c09,567ece63-3ecb-5062-b4d8-c97433823b3c,1fa2b768-1b9d-5b9c-befa-fac1ccb97563,100,2
a3c4c340-ecbf-5b4b-b084-d690df5972d3,567ece63-3ecb-5062-b4d8-c97433823b3c,829935ce-9ec7-5afb-a542-873877c9ce31,167,16
d29c6aa5-379e-51b5-b51f-82f3ec1feaca,567ece63-3ecb-5062-b4d8-c97433823b3c,0137b3c3-db39-5e56-abf7-8ae43bc349ad,134,12
3a42b610-032f-5b2f-accb-0c14555226bb,567ece63-3ecb-5062-b4d8-c97433823b3c,9b6b9203-f582-59b6-b64c-309881607c86,15,3
dd0e76fd-83fe-5bd0-97db-ecad4a7d001c,567ece63-3ecb-5062-b4d8-c97433823b3c,1657c1e2-1668-5957-a5e5-822140c08707,57,25
459894f8-cef3-5057-89f7-853c7085c4d6,567ece63-3ecb-5062-b4d8-c97433823b3c,1760c2e4-563f-5bac-abcd-baf5317434c8,87,3
b837f521-eae3-5e34-82ff-77c7dab71831,567ece63-3ecb-5062-b4d8-c97433823b3c,e691a6a3-7dd7-5d95-b97e-997e3af77227,77,7
69f7e8ff-cb6c-5948-9083-3c6a6522532e,567ece63-3ecb-5062-b4d8-c97433823b3c,f78fc905-81d2-5f52-8c77-1cff3a4b42b7,148,21
8f6383ef-626d-5d6f-83e1-3e35c88a2abd,567ece63-3ecb-5062-b4d8-c97433823b3c,6469a098-75a3-5b3b-839a-ad075a8e67ad,134,21
29ae1a0f-f679-5098-9767-d5dbe49b17e2,567ece63-3ecb-5062-b4d8-c97433823b3c,86eda21c-1dbc-500a-9201-b7d6b0786cc8,136,18
96ac5a36-218f-555e-8c68-c9ac82a674bb,567ece63-3ecb-5062-b4d8-c97433823b3c,39cb20a1-5dca-5b11-90c4-3e96e441ed0c,170,23
d5163a26-b05b-50af-94a7-b1e4feedcfc9,567ece63-3ecb-5062-b4d8-c97433823b3c,2f2113cc-589a-55b5-846a-78fddce3a3c9,13,6
6e5c6039-4050-5aee-9d63-42f87921ccd8,567ece63-3ecb-5062-b4d8-c97433823b3c,b6464168-fc86-5543-9805-0861ea9c66cc,175,16
8a7fa7e8-0109-5857-9b44-f6919f76e136,567ece63-3ecb-5062-b4d8-c97433823b3c,c2be7cd9-f7ee-544a-9ceb-7052826da8ce,101,9
c11247dd-2e98-5b87-988d-9479232b0a5c,567ece63-3ecb-5062-b4d8-c97433823b3c,4dbc0e6b-ab10-5b67-a928-f87e1ed2bb9a,105,24
0447d159-cd68-597a-a392-df103149f1c4,567ece63-3ecb-5062-b4d8-c97433823b3c,0caef625-914f-5fea-8e59-19b212bfbd46,94,7
1d515723-9871-5023-8ce1-071658c9417d,567ece63-3ecb-5062-b4d8-c97433823b3c,d37c44df-541b-5bf4-b395-65b41bac88a8,122,2
8753b1ce-7bfc-5adb-b37e-5a3aad0b820e,567ece63-3ecb-5062-b4d8-c97433823b3c,88f79184-2cf9-5f72-8e4a-cedfa68d9d06,87,16
c5cd9f3f-19b9-5aca-bf8d-126cdd129caf,567ece63-3ecb-5062-b4d8-c97433823b3c,896e7662-34d0-5631-bb0f-b5ce6b0ad1ba,53,21
b253b3e2-7232-5a28-adda-2695e5c0a611,567ece63-3ecb-5062-b4d8-c97433823b3c,5d79cff2-0e77-58a2-b1bf-c506ed3c98bd,150,8
4cd7e96a-b18c-52ee-875b-b2bab7ef67da,567ece63-3ecb-5062-b4d8-c97433823b3c,1cc795b2-21b3-5c5e-84f0-8f1fa20a6dd4,135,24
96df75b6-0cb7-5361-866e-d39fd75eec42,567ece63-3ecb-5062-b4d8-c97433823b3c,d520aef1-b021-5cf0-a1d3-9e7e6d31aab7,151,1
3e56f5df-1b38-5d54-9464-bfe7c50f9bb3,567ece63-3ecb-5062-b4d8-c97433823b3c,db43f9b2-c956-5785-8950-8287c47db3ae,79,15
57239363-d9a4-5c8a-b1a7-01414d37ec97,567ece63-3ecb-5062-b4d8-c97433823b3c,599db343-a607-5259-8af1-adde7b1a86ce,57,19
79e852b0-2706-5d6d-9998-a4ac1985439e,567ece63-3ecb-5062-b4d8-c97433823b3c,3205bb8a-e766-5617-a3d4-78aaa9883bc8,180,17
e1312ba6-8592-574f-80a3-cb494a3e639e,567ece63-3ecb-5062-b4d8-c97433823b3c,8a195dd5-491c-532c-9a61-886a24d451c0,124,6
83c265ba-05b9-5334-a646-b68f2eac4d1c,567ece63-3ecb-5062-b4d8-c97433823b3c,fb4140fc-b3c1-5a6a-8613-9b068fdd2b39,122,9
7a7c8eb2-3e5c-5519-8863-10559f9cab4b,567ece63-3ecb-5062-b4d8-c97433823b3c,31a97c6b-10cf-54c1-b463-f81683a437cc,162,0
bc6c8d74-d84d-5be8-a29d-699edb4a80ef,567ece63-3ecb-5062-b4d8-c97433823b3c,1dd457fd-1d71-5eb5-b684-6f07d43e876c,76,21
7916f73d-683f-5370-95bc-9a4a1f479b89,567ece63-3ecb-5062-b4d8-c97433823b3c,eff08d1d-eb3b-559a-8ca9-60c7b365af52,9,9
2ed3a0c5-90ff-5585-9640-7ebc99ff0733,567ece63-3ecb-5062-b4d8-c97433823b3c,d4214473-2bf7-5b77-bb1f-734e590c4014,15,5
26553949-390a-53e0-a7be-058b2e6a31cd,567ece63-3ecb-5062-b4d8-c97433823b3c,0f2c8ffe-5a45-5cfc-afbf-417553294a54,34,16
45a9106e-7507-5805-907f-55c7112490e4,567ece63-3ecb-5062-b4d8-c97433823b3c,b4065918-1c4b-50b6-b69a-d859f24bfe23,154,20
2ab49a73-c20b-5ee1-a1de-6f020b580cbc,567ece63-3ecb-5062-b4d8-c97433823b3c,f65edfe2-43ae-59f6-b37a-f98344e1a998,76,23
a0a86618-acab-5d7b-aef0-b0608177a54c,567ece63-3ecb-5062-b4d8-c97433823b3c,591abda9-fd16-5958-b0e9-586f0dfa6e54,96,17
33e73bea-f614-5704-8de0-c92376303dd6,567ece63-3ecb-5062-b4d8-c97433823b3c,9f7bfd37-85ae-5a17-9b9f-5dafe3ec68ee,145,9
9b6897f0-c754-5328-bf3a-dc94abc50c27,567ece63-3ecb-5062-b4d8-c97433823b3c,43d6da55-777b-55ef-8cf5-d4cc7bfa63ad,58,1
40f76aa4-a110-5c40-abb4-7a911af70ad3,567ece63-3ecb-5062-b4d8-c97433823b3c,cb09f248-037d-5a0d-9970-99cb102c05d8,137,6
cbd2f58e-686f-5097-ae83-4325e78e8d9c,567ece63-3ecb-5062-b4d8-c97433823b3c,db630ac7-839d-5331-93df-dc621d8357b6,89,16
4c58d6c3-cc24-5884-a837-0e3d9e0ba65d,567ece63-3ecb-5062-b4d8-c97433823b3c,8b12c834-e054-5502-85aa-99d1eb81eee0,151,22
af39d9da-d43d-59ca-99d4-377398e80b13,567ece63-3ecb-5062-b4d8-c97433823b3c,12003734-bab7-5410-8c89-f9a8c4967dea,119,7
bd7a3762-f779-5289-b2ce-aa306a0865f6,567ece63-3ecb-5062-b4d8-c97433823b3c,2e263bcd-bacc-5f51-b35b-70d1674f4dc5,14,0
7afe6ace-69f7-5670-9a97-6387cad6f240,567ece63-3ecb-5062-b4d8-c97433823b3c,b4b5a0e3-641b-562e-8386-bff3564cf295,93,20
261395a4-40c8-571a-b709-bda1e02c12ad,567ece63-3ecb-5062-b4d8-c97433823b3c,cd410e43-ec3c-524b-84c6-84482a7b1204,92,17
b587a5c4-6582-57e9-b306-52e1b8f1ced6,567ece63-3ecb-5062-b4d8-c97433823b3c,deaf9542-d65c-5f41-b22e-b1d033baea7a,121,10
e6332327-08fb-5802-93b4-47734d889c16,567ece63-3ecb-5062-b4d8-c97433823b3c,201fb8e4-2c24-5483-b44d-4063694486b2,17,6
57e946f2-8eba-569e-8988-6b77d572de48,567ece63-3ecb-5062-b4d8-c97433823b3c,13e04507-297b-56af-85d7-75b609d982a1,40,23
76291bf7-400a-5a44-bd0c-abee3d6e5b13,567ece63-3ecb-5062-b4d8-c97433823b3c,f350d57a-8885-50f1-b76a-29f7a8057a35,71,7
aa1d627c-2905-593e-8c4b-0acd2467d5a2,567ece63-3ecb-5062-b4d8-c97433823b3c,b6edaedb-a02c-5fbc-b05c-2b5d8deb20c4,21,7
5225d54a-ca79-5ec3-930d-70666465dda7,567ece63-3ecb-5062-b4d8-c97433823b3c,fd5d29e1-571f-589d-be31-aa00127c02aa,65,6
56eebcf0-3847-512c-b584-4704d098b597,567ece63-3ecb-5062-b4d8-c97433823b3c,c3e9c7fb-d6ab-5171-a827-7aad6b6d2342,111,14
4456b239-66da-5e97-9636-2a090908cd23,567ece63-3ecb-5062-b4d8-c97433823b3c,d3739878-986b-5b5f-a096-4452493d6cbb,150,1
5811e3cb-d62b-5eec-9e57-b3fa16d76167,567ece63-3ecb-5062-b4d8-c97433823b3c,91bd15e4-105e-5926-abe6-7ceaf8c07375,120,22
951a0723-cd25-5e82-9547-00b141648803,567ece63-3ecb-5062-b4d8-c97433823b3c,b5386670-1687-5260-ad33-97e5d697c425,50,12
2e17e2c4-e11b-53a7-a715-b4bc9926123b,567ece63-3ecb-5062-b4d8-c97433823b3c,1ac8de35-b264-5704-978e-ce8dc08dd02d,7,2
1517c5dc-af00-56cf-b6ce-526efaa31203,567ece63-3ecb-5062-b4d8-c97433823b3c,d6b2e2d8-f41b-5418-ba12-fcffc0aa6508,32,20
c927f57c-21b5-537b-beac-01ffad6bb0b7,567ece63-3ecb-5062-b4d8-c97433823b3c,8ac2c18a-5896-572a-9f44-f5d60109258d,65,0
19c27e99-446c-5e2f-b56c-0dcf88cad04d,567ece63-3ecb-5062-b4d8-c97433823b3c,e53c7da2-eb34-5499-8fd8-380dd673ea82,129,11
7796aa76-5fc4-52fa-9b1f-446d37bec6c0,567ece63-3ecb-5062-b4d8-c97433823b3c,9a2e8c5f-4d3e-5cb8-ba78-f2bd562ee61b,175,25
5bb3d2ee-2203-572a-9a65-67fa7aedcdcf,567ece63-3ecb-5062-b4d8-c97433823b3c,aa67b9d9-b4e2-53f3-9447-ca933b53344f,177,23
9ec78531-ff5b-5637-ab4d-82dc4ceffd3b,567ece63-3ecb-5062-b4d8-c97433823b3c,d96da70b-0cb5-58c8-928a-aafb2d90b154,40,12
19963396-a60b-5a64-a1c9-8e5019dc43ac,567ece63-3ecb-5062-b4d8-c97433823b3c,8dfa6632-930f-5fdc-b7cd-8d5908a33d66,122,17
a79aabcd-81b3-5a24-b8e5-670fdd863d67,567ece63-3ecb-5062-b4d8-c97433823b3c,0eb49bc4-406e-5d63-a28c-3e5b6ef668e4,8,8
651654c8-069c-53f0-86ee-5cc7e6504585,567ece63-3ecb-5062-b4d8-c97433823b3c,1c3b9a21-09fa-5c21-bdad-35f2eb8a273f,124,3
e23564be-70ac-5882-8da3-a22a7b9db7a0,567ece63-3ecb-5062-b4d8-c97433823b3c,75679cf6-5497-5e69-b773-db773bc6a245,91,12
3cf3db48-09da-53c3-81e1-7ec97753da65,567ece63-3ecb-5062-b4d8-c97433823b3c,af3fc15f-c662-5a5e-9e9c-3b2d4e1b6029,18,2
b6dc7d4d-4bef-538a-aff0-2fc3b034b2f0,567ece63-3ecb-5062-b4d8-c97433823b3c,cdea42fb-ee49-5a22-a213-56a8f9fcb148,148,12
8e252b7f-593c-5066-ab95-5677d866fc96,567ece63-3ecb-5062-b4d8-c97433823b3c,34baeb4c-81dc-5b29-bc76-0b8fd47cdbed,164,5
d0b520fd-a47d-5547-98e4-938db71c1083,567ece63-3ecb-5062-b4d8-c97433823b3c,c0bff87f-f764-5151-8aec-dda48ea91847,108,24
